Name,Price,Old,Discount,Stars_and_reviews
LASA Posture Corrector Clavicle Fracture Back Shoulder Correction Brace,KSh 585,KSh 950,38%,3.5 out of 5(4)
USN Hyperbolic Mass Straw -1Kg (2.2 Lbs),"KSh 1,999", , ,4.2 out of 5(315)
Ramtons RM/570 - 1.7L Stainless Steel Cordless Kettle (1 Yrs Warranty),"KSh 2,700", , ,4.4 out of 5(1339)
RichRipple 7 Ultra Smart Watch Bands Gift Box Smart Watches,"KSh 2,199","KSh 3,675",40%,4.5 out of 5(18)
Oraimo Slice Link 10000mAh 12W Power Bank_ Black,"KSh 1,530","KSh 2,000",24%,5 out of 5(1)
Hisense Microwave 23 Liters H23moms5H (2YRs WRTY),"KSh 13,499","KSh 15,000",10%,5 out of 5(7)
Adidas Runfalcon 3.0 Men Running Shoes,"KSh 4,576","KSh 9,152",50%,4.1 out of 5(7)
C Idea 10.1 Inch Android Tablet PC 12 Dual Camera Sim 8GB RAM 512GB Bluetooth Fntastic Blue,"KSh 13,999","KSh 21,000",33%,4.3 out of 5(3)
L'Oreal Glycolic Bright - Serum + Day Cream Routine Kit,"KSh 3,075","KSh 4,100",25%,4.1 out of 5(7)
Garnier Micellar Oil-Infused Cleansing Water (Oil In Water) - 400ml,KSh 949,KSh 990,4%,4.6 out of 5(752)
"C Idea 9 Inches Android 12 Tablets SIM WiFi 256GB ,1280 * 800,8000mAh Battery Tablet Grey","KSh 10,000","KSh 18,625",46%,3.9 out of 5(9)
Sundabest 6 Pcs Tea Cup Set (17866),"KSh 1,027","KSh 1,028",1%,3.8 out of 5(9)
Jacob's Creek Jacob's Creek Classic Merlot 750Ml,"KSh 1,199","KSh 1,439",17%,4.7 out of 5(39)
Amtec AM-316 HI-FI AC/DC SUB WOOFER HOMETHEATRE SYSTEM FM-BT,"KSh 5,000","KSh 6,800",26%,3.9 out of 5(8)
Rashnik Lunch box with spoon.,KSh 204, , ,5 out of 5(5)
Mara Sweet Almond Oil -125ml,KSh 600,KSh 800,25%,4.4 out of 5(170)
Pembe Pembe ATTA MARK - 2Kg,KSh 169,KSh 185,9%,4.8 out of 5(45)
NIVEA 5 In 1 Complete Care Nourishing Cocoa Body Lotion With Cocoa Butter & Vitamin E – 200ML,KSh 288,KSh 360,20%,4.5 out of 5(59)
Rashnik 630ml Single Layer Insulated Stainless Steel Lunch Box with Handles (RN-1405PINK),KSh 300, , ,4 out of 5(2)
"VON VAMS-20MGX - Manual Microwave Oven, Solo - 20L - Black.","KSh 8,899","KSh 11,995",26%,4.6 out of 5(120)
NIVEA Repair & Care Body Lotion For Women - 400ml (Pack Of 2),"KSh 1,340", , ,4.8 out of 5(234)
Maybelline SuperStay 30H Active Wear Foundation- 65 Coconut,"KSh 1,680","KSh 2,400",30%,4.1 out of 5(101)
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 50,700", , ,4.4 out of 5(18)
Mizani 25 Miracle Milk- Leave In Conditioner 250ml,"KSh 4,479", , ,4.6 out of 5(53)
Amaize Amaize Premium Maize Meal - 2Kg,KSh 185,KSh 215,14%,4.6 out of 5(137)
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,"KSh 36,396","KSh 47,495",23%,5 out of 5(6)
"Nunix 20L Electric Rotisserie Oven, 1280W","KSh 5,151","KSh 5,152",1%,4 out of 5(41)
"EDENBERG 20cm EB-3381 Die-casting Crepe Pan Marble, Black","KSh 1,197","KSh 1,260",5%,3.7 out of 5(15)
"Oraimo Watch ER 1.43'' AMOLED, BT Call,  IP68 Smart Watch_ Black","KSh 5,180","KSh 7,000",26%,4.5 out of 5(6)
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),"KSh 26,999","KSh 36,000",25%,4.1 out of 5(36)
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice","KSh 2,000", , ,4.7 out of 5(205)
"Skyworth 50SUE9500, 50-inches 4K QLED 2022 Frameless Smart Android TV, Black (1YR WRTY)","KSh 47,999","KSh 54,999",13%,4.5 out of 5(62)
"Nunix 50 * 60cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven","KSh 24,749","KSh 24,750",1%,3.2 out of 5(5)
L'Oréal Paris Revitalift Pure 0.2% Retinol Face Serum 30ML,"KSh 2,175","KSh 2,900",25%,4.8 out of 5(32)
UNCOVER Essential Skincare Kit,"KSh 5,794","KSh 6,848",15%,4.6 out of 5(36)
Oraimo FreePods Lite ENC 40-hour Playtime Havybass True Wireless Earbuds,"KSh 2,100","KSh 2,508",16%,4.6 out of 5(5)
Hisense H20MOBS11 - 20L Digital Microwave Oven - Black (2YRs WRTY),"KSh 10,699","KSh 15,000",29%,4.4 out of 5(26)
Maybelline Superstay Vinyl Ink 25 Red-Hot,"KSh 1,817","KSh 2,795",35%,4.4 out of 5(27)
Nice One 6PCS 390ML High Quality Classy Whiskey Wine Water Glass Cups (ES7018-1 GLASS WARE),KSh 799,KSh 999,20%, 
"Amtec 32"" M6 Digital LED TV DVBt2 HD AC","KSh 10,999","KSh 13,000",15%,4 out of 5(2)
Maybelline Superstay Vinyl  Ink 55 Royal,"KSh 1,799","KSh 2,795",36%,4.7 out of 5(109)
Nice & Lovely Nice & Lovely Cocoa Butter  Lotion 850ml,KSh 715, , ,4.4 out of 5(16)
Danny Home Double Old Fashioned Whiskey Glasses Set Of 4 ( 1988-63,KSh 840, , ,5 out of 5(2)
C Idea Adults Tablets10 Inches Android 12 Sim 8GB+512GB Storage Keyboard(Purple),"KSh 12,999","KSh 21,134",38%,4.1 out of 5(30)
Vaseline Lotion Dry Skin Void 100ml,KSh 175, , ,4.5 out of 5(6)
Adidas Runfalcon 3.0 W Women Running Shoes,"KSh 4,576","KSh 9,152",50%,5 out of 5(1)
Mara Ayurvedic Shampoo Bar- 100g,KSh 350,KSh 400,13%,4.6 out of 5(27)
Maybelline Lifter Gloss Twin Pack - Topaz + Crystal,"KSh 2,600","KSh 4,000",35%,4.8 out of 5(126)
Nunix PM-503P Popcake Maker,"KSh 1,008", , ,4.7 out of 5(7)
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver (2YRS WRTY),"KSh 20,150","KSh 28,000",28%,4.7 out of 5(29)
Wlisth Women's Stainless Steel Quartz Wristwatch,"KSh 1,179","KSh 2,057",43%,4 out of 5(201)
"Vitron BD566-A Water Dispenser Hot And Cold,CHILD LOCK ,METAL BACK (1YR WRTY)","KSh 9,770","KSh 12,000",19%,4.7 out of 5(6)
Aworky Limited Blue Water Bottle,KSh 519,"KSh 1,000",48%,4.3 out of 5(15)
Qwen Bluetooth Headset Wireless Earbuds With Power Bank,KSh 600,"KSh 1,000",40%,4.5 out of 5(13)
"Infinix Note 40 Pro+ 5G, 6.78"", 256GB + 12GB RAM (UPTO 24GB), 4600mAh, Vintage Green","KSh 44,231","KSh 51,000",13%,4.5 out of 5(4)
Nice & Lovely Jelly-in-Cream Baby Jar - 250g,KSh 895, , ,4.9 out of 5(8)
"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black","KSh 13,622","KSh 25,761",47%,4.1 out of 5(229)
KF94 Surgical MASKS 3D Face Masks - 25pcs VARIOUS COLOURS,KSh 399 - KSh 597,KSh 600 - KSh 700,34%,4.3 out of 5(118)
Adidas Grand Court Td Lifestyle Court Casual Shoes Men,"KSh 5,370","KSh 10,739",50%,4.8 out of 5(24)
"Infinix Note 30 Pro 4G, 6.67"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Variable Gold","KSh 39,999", , ,4.3 out of 5(30)
Maybelline Superstay Vinyl Ink Nude Shock 135 Fearless,"KSh 1,804","KSh 2,795",35%,4.6 out of 5(29)
Mara Ayurvedic Oil Infusion -120 Ml,KSh 650,KSh 800,19%,4.5 out of 5(89)
Vaseline Cocoa Glow Void 200ml,KSh 310, , ,4 out of 5(23)
Adidas Vultrun M Men Running Shoes,"KSh 4,168","KSh 12,800",67%,4.8 out of 5(15)
Oraimo FreePods 4 Active Noise Cancellation Easy Control APP Wireless Stereo Earbuds,"KSh 5,599","KSh 7,719",27%,4.6 out of 5(103)
Strepsils Strepsils Lozenge 24 Pack - Honey & Lemon,KSh 175, , ,4 out of 5(3)
UR Fashion 18-Inch Multifunctional Large Capacity Business College School Travel Laptop Backpack - Grey,"KSh 1,459", , ,4.3 out of 5(6)
"Freeyond F9,2GB+64GB,6.52"", 13.0MP,4G Smartphone 5000mAh Dual SIM Android Phone,Blue","KSh 10,300","KSh 18,028",43%,4 out of 5(456)
Oraimo Smart Clipper 2 Professional Hair Clipper,"KSh 3,240","KSh 4,500",28%,4.8 out of 5(6)
"C Idea 9 Inches Android 12 Tablets WiFi 256GB SIM,1280 * 800,8000mAh Battery Tablet Pink","KSh 9,800","KSh 18,625",47%,4.8 out of 5(4)
Nunix AK-200 – 2 In 1 Blender With Grinding Machine -1.5L – 350W – White,"KSh 2,240", , ,4.4 out of 5(14)
LASA Kitchen Timer Digital Clock Loud Alarm,KSh 368,KSh 750,51%,4 out of 5(2)
Nunix RH-588 Hot Air Popcorn Maker,"KSh 1,411", , ,4.6 out of 5(7)
Rashnik Rn-1205 Stainless Steel 5ltr Kettle,"KSh 1,199","KSh 1,200",1%,4.3 out of 5(4)
Rexona Men Antiperspirant Deodorant Roll On Extra Cool 50ml,KSh 361, , ,4.3 out of 5(9)
Rashnik 480 ml Insulated Stainless Steel Blue Food Thermos (RN-1438BLUE),KSh 600, , ,4.2 out of 5(6)
Adidas Adilette Aqua Slides Boys,"KSh 1,999","KSh 4,600",57%,5 out of 5(5)
Adidas Duramo SL Men Shoes,"KSh 5,130","KSh 10,260",50%,5 out of 5(7)
Nunix R5 Hot & Normal Free Standing Water Dispenser - White,"KSh 4,180", , ,4 out of 5(191)
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Glowing Black, (2YRs WRTY)","KSh 26,499","KSh 29,999",12%,4.4 out of 5(16)
Defacto Man Young Slim Fit Knitted Trousers - Grey,KSh 862,"KSh 2,154",60%,4 out of 5(5)
L'Oréal Paris Revitalift Anti-Wrinkle Serum + Laser Retinol Serum,"KSh 3,835","KSh 5,900",35%,4.6 out of 5(31)
VON VSCP60MMX Pressure Cooker 1000W - 6L,"KSh 10,999","KSh 14,495",24%,4.7 out of 5(227)
Nunix Z16 Hot & Normal Water Dispenser – Silver,"KSh 5,720", , ,4 out of 5(15)
Rashnik 630ml Single Layer Insulated Stainless Steel Lunch Box with Handles (RN-1405GREEN),KSh 300, , ,3.8 out of 5(4)
Velvex White Serviettes Value Pack 200 Sheets,KSh 220,KSh 275,20%,4.8 out of 5(52)
Mara Red Maca Powder- 100g,KSh 900,"KSh 1,200",25%,4.6 out of 5(13)
VON VSID10BSL - Dry Iron - 1300W - Blue,"KSh 1,269","KSh 1,795",29%,4.4 out of 5(36)
"Eurochef EC-G002B Metal Gas Stove, 2 Burners Gas Cooker, Table Top","KSh 2,089","KSh 3,699",44%, 
"Freeyond F9,2GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Black","KSh 10,300","KSh 17,466",41%,4.1 out of 5(426)
Miniso Meeting You Perfume,KSh 559, , ,4.3 out of 5(12)
Nunix Double Deep Fryer,"KSh 8,360", , ,5 out of 5(2)
Revlon ColorStay Makeup Combination/Oily Skin SPF15 30ml- Caramel,"KSh 1,700","KSh 3,273",48%,3.6 out of 5(11)
Miniso Sweet Girl Perfume,KSh 529, , ,4.7 out of 5(7)
Adidas Galaxy 6 W Women Shoes,"KSh 4,576","KSh 9,152",50%,4.4 out of 5(8)
Velvex Facial Tissue Silver 70 Sheets,KSh 75,KSh 120,38%,3.9 out of 5(10)
Freeyond Smartwatch Sports IP67 Running FY Watch F1,"KSh 1,490","KSh 2,743",46%,4.6 out of 5(29)
Mara Neem Powder 100g,KSh 450,KSh 600,25%,4.6 out of 5(53)
Amtec AM-008 2.1CH HOME THEATRE SYSTEM USB/SD/FM 5000W-Amtec Blue/Red,"KSh 3,889","KSh 5,000",22%,4 out of 5(24)
Bio-Oil Bio Oil Lotion 250ml,"KSh 1,054","KSh 1,055",1%,3.8 out of 5(12)
Adidas Advantage Base Men Court Lifestyle Shoes,"KSh 5,495","KSh 10,989",50%,4.8 out of 5(11)
Johnnie Walker Johnnie Walker Black 12Y - 750ml,"KSh 2,999","KSh 4,200",29%,4.4 out of 5(30)
Nunix Professional Commercial Blender - Grey,"KSh 3,360", , ,4 out of 5(4)
"C Idea Tablet 7-Inch, Android Dual Camera Sim 32gb Storage, Adult Tablet Black","KSh 4,899","KSh 9,606",49%,3.3 out of 5(3)
BOMGE Wireless Microphone System 2 Handheld Microphone,"KSh 3,300","KSh 5,874",44%,4.1 out of 5(36)
"C Idea 8 Inches Reading Android 13 Sim WiFi Tablet Touch Screen,8MP Rear Cameras,5000mAh","KSh 7,499","KSh 11,946",37%,4.2 out of 5(5)
Nunix 3 Tier Wooden Kitchen Rack- Black,"KSh 2,304", , ,4.6 out of 5(12)
Qwen Wireless Earbud  LED Digital Display Bluetooth 5.3 Noise Cancelling Earphones,KSh 600,"KSh 1,000",40%,3.3 out of 5(9)
L'Oréal Paris Revitalift Filler Hyaluronic Acid SPF 50 Day Cream,"KSh 2,513","KSh 3,350",25%,4.2 out of 5(27)
Haier 172L Bottom Mount Freezer HRD-230TMPS,"KSh 46,595","KSh 55,595",16%,5 out of 5(4)
Adidas Adilette Aqua Slides Unisex,"KSh 1,999","KSh 4,600",57%,4.7 out of 5(3)
NIVEA Hydro Care Lip Balm - 4.8g (Pack Of 2),KSh 553,KSh 724,24%,4.6 out of 5(238)
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 2,099","KSh 2,482",15%,4.6 out of 5(75)
Maybelline SuperStay 30H Active Wear Foundation- 70 COCOA,"KSh 1,658","KSh 2,400",31%,4.4 out of 5(91)
Sundabest 6PCS Yellow And Brown Flower Mug Set (11378),KSh 487, , ,5 out of 5(1)
Defacto Woman Special Collection Paperbag Denim Trousers - Black,"KSh 1,637","KSh 4,095",60%,4.9 out of 5(13)
Dettol Dettol Soap Skincare 125g,KSh 191,KSh 200,5%, 
Vaseline Vaseline  PJ Original 240ML,KSh 340, , ,4.9 out of 5(22)
Nice One 6PCS 320ML High Quality Classy Whiskey/Wine/Water Glass (ES5004 GLASS CUP),KSh 799,KSh 999,20%,5 out of 5(3)
Catpapa Baby Girls Letter Print Short Sleeve Bodysuit + Polka Dot Shorts + Headband,"KSh 1,080","KSh 1,542",30%,4.5 out of 5(2)
Qwen Wireless Earbuds Touch Control In-ear Bluetooth Earphones,KSh 600,"KSh 1,000",40%,4.1 out of 5(47)
LASA Window Privacy Static Film Frosted Glass Non-Adhesive 90x200cm,KSh 500,KSh 700,29%,5 out of 5(5)
Adidas Adilette Aqua Slides Women,"KSh 1,999","KSh 4,600",57%,5 out of 5(9)
"Nunix 4 Gas Table Top Cooker (LT04-1), Metallic Grey","KSh 4,488", , ,3.5 out of 5(4)
"Nunix 3 Gas + 1 Electric Table Top cooker (LT04-2), Metallic Grey","KSh 5,808", , ,2.7 out of 5(3)
Adidas Adilette Aqua Slides Unisex,"KSh 2,199","KSh 4,600",52%,4.4 out of 5(28)
Vivo Y03 - 6.56'' - 4GB RAM + 64GB ROM - Dual SIM - 5000mAh - Gem Green (2YRs WRTY),"KSh 12,699","KSh 18,000",29%,3.8 out of 5(4)
"Skyworth F90433NBY Front Load 9kg, Automatic Washer & Dryer - Tim Grey (1YR WRTY)","KSh 54,999","KSh 69,999",21%,4.2 out of 5(16)
Ranee Ranee Premium Basmati Rice - 2 Kg,KSh 597,KSh 750,20%,4.7 out of 5(20)
Sunlight Sunlight Scourer Lavender 500g,KSh 90, , ,5 out of 5(2)
"C Idea Adults Tablets, 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard (Red)","KSh 12,999","KSh 21,134",38%,4.2 out of 5(25)
Maybelline SuperStay 30H Active Wear Foundation- 61 WARM BRONZE,"KSh 1,680","KSh 2,400",30%,4.2 out of 5(95)
Vitron V838H 3.1 Inch Bluetooth Speaker System,"KSh 8,499","KSh 10,000",15%,4.8 out of 5(4)
Adidas Tensaur Sport Training Hook And Loop Shoes Kids,"KSh 3,255","KSh 6,509",50%,4.8 out of 5(31)
Itel Rechargeable Hair Clipper Itel IHC-31 Multi-function Suit,"KSh 1,480","KSh 2,240",34%,4.6 out of 5(5)
NIVEA Aloe & Hydration Body Lotion For Women - 200ml (Pack Of 2),KSh 720, , ,4.5 out of 5(34)
"Infinix Note 40, 6.78"", 256GB + 8GB RAM (UPTO 16GB RAM), Dual SIM, 5000mAh, Titan Gold","KSh 27,929","KSh 50,000",44%,4 out of 5(1)
Oraimo PowerHub C 6-In-1 Smart Fast Charging Portable Power Expansion Cube-White,"KSh 1,230","KSh 2,000",39%,5 out of 5(2)
Rashnik Food Container With 3 Compartments And Cutlery Set (bigger size)RN-1496,KSh 300, , ,5 out of 5(3)
Miniso City Series-Reed Diffuser - Rose & Cedar,KSh 399, , ,4.3 out of 5(6)
Maybelline Superstay Vinyl Ink 10 Lippy,"KSh 1,804","KSh 2,795",35%,4.2 out of 5(17)
LASA ADJUSTABLE HEIGHT IRONING BOARD 91.5CM X 33CM,"KSh 4,550","KSh 7,700",41%,4.8 out of 5(5)
Nunix 20l Analog microwave,"KSh 8,140", , ,4.4 out of 5(7)
"U&I Enc Air O6 Earbuds, Black","KSh 1,299","KSh 2,500",48%,3.6 out of 5(14)
"Tecno CAMON 20, 6.67"", 256GB + 8GB RAM (Dual SIM), 4G LTE, 5000mAh, Serenity Blue","KSh 22,999","KSh 25,999",12%,4.3 out of 5(29)
Adidas Galaxy 6 W Women Shoes,"KSh 4,576","KSh 9,152",50%,5 out of 5(3)
Velvex Disinfectant Spray Lavender 530ml,KSh 250, , ,4.5 out of 5(29)
Adidas Grand Court Base 2.0 Women Shoes,"KSh 5,128","KSh 10,255",50%,4.5 out of 5(8)
Mizani 25 Miracle Milk Leave-In  Conditioner 400ML,"KSh 6,635", , ,5 out of 5(13)
Mara Brahmi Powder 100g,KSh 700,KSh 800,13%,4.7 out of 5(48)
Nice & Lovely Soothing & Calming Baby Oil - 100ml,KSh 650, , ,4.5 out of 5(117)
Proline Bentonite Clumping Cat Litter Oduorless 5L,"KSh 1,267", , ,4.5 out of 5(24)
Qwen Selfie Stick Tripod With LED Light  Remote Controller For Mobile Phone,KSh 535,KSh 800,33%,3.9 out of 5(83)
"Hisense 50"" Inch (50A6K) VIDAA OS LED Frameless Smart TV - Black","KSh 49,599","KSh 60,000",17%,5 out of 5(2)
"SIMI S502 - 5.""  HD + 1GB And 16GB.","KSh 4,999","KSh 7,999",38%,3.6 out of 5(23)
Adidas Grand Court Base 2.0 Men's Shoes,"KSh 5,468","KSh 10,935",50%,4.4 out of 5(5)
Sundabest 6 Pcs Flowered Dinner Plates (17802),"KSh 1,246", , ,3 out of 5(1)
Euroken New Ms-1754BT High Fidelity Surround Sound Home Theater System Outdoor Portable Wireless Karaoke Speaker,"KSh 1,377","KSh 1,850",26%,4.3 out of 5(3)
Oraimo Necklace 4 Dual EQ Multiple Connection 50-hr Playtime Quick Charge Neckband-Black,"KSh 2,470","KSh 4,500",45%,4.1 out of 5(14)
Mara Shikakai Powder - 100g,KSh 450,KSh 550,18%,4.5 out of 5(69)
Defacto Man Core Regular Fit Crew Neck Knitted T-Shirt - White,KSh 835,"KSh 2,089",60%,4.4 out of 5(7)
Mara Flax Seeds 250g,KSh 400,KSh 500,20%,4.8 out of 5(29)
Solarmax 200 AH DEEP CYCLE GEL BATTERY,"KSh 11,000","KSh 21,600",49%,4.3 out of 5(7)
Adidas ZENITH FLIP-FLOPS MEN,"KSh 1,819","KSh 3,638",50%,4.7 out of 5(3)
NIVEA MEN Deep Shower Gel - 500 Ml,"KSh 1,040", , ,4.7 out of 5(44)
Defacto Woman Young Tiered Long Sleeve Woven Dress - Black,"KSh 1,337","KSh 3,343",60%,5 out of 5(2)
Royco Mchuzi Mix Beef Flavour Seasoning - 200g,KSh 146,KSh 157,7%,4.2 out of 5(10)
NIVEA Lemongrass & Oil Shower Gel For Women - 250 Ml,KSh 570,KSh 595,4%,4.6 out of 5(873)
L'Oréal Paris Revitalift Filler Gel Face Wash Cleanser,"KSh 1,425","KSh 1,900",25%,4.3 out of 5(32)
Garnier Ampoule Tissue Face Mask - Pineapple And 1% Vitamin C 15g,KSh 395, , ,4.6 out of 5(157)
"Miniso AAA  Carbon-zinc Battery, 10 Pack(Black)",KSh 359, , ,4.8 out of 5(17)
Mara Hibiscus Powder 100g,KSh 450,KSh 500,10%,4.5 out of 5(47)
Rashnik 5pc knife set,KSh 263,KSh 264,1%,3.9 out of 5(7)
Wlisth Luxury Men's Watches Stainless Steel Band Fashion Waterproof Quartz Watch,"KSh 2,343","KSh 4,115",43%,4.2 out of 5(35)
Adidas Adilette Sandals Boys,"KSh 2,299","KSh 4,600",50%,4.5 out of 5(17)
Vivo Y03 - 6.56'' - 4GB RAM + 64GB ROM - Dual SIM - 5000mAh - Space Black (2YRs WRTY),"KSh 12,699","KSh 15,999",21%,4.2 out of 5(6)
NIVEA Refreshing Face Wash And Day Cream-Normal Skin,"KSh 1,133","KSh 1,510",25%,4.6 out of 5(36)
Dr. Rashel Vitamin C & Niacinamide Brightening Primer Serum,KSh 840,"KSh 1,200",30%,3.8 out of 5(5)
Adidas Streetahead W Women Running Shoes,"KSh 3,841","KSh 11,008",65%,4.9 out of 5(7)
"Vision Plus Beat Box Mini - Black, (1YR WRTY)","KSh 6,530","KSh 10,000",35%,4.2 out of 5(5)
"Ecoflow Portable Power Station RIVER 2 Pro, 768Wh LiFeP04 Battery","KSh 78,999","KSh 106,999",26%,4.7 out of 5(14)
Mara Fenugreek Powder-250g,KSh 650, , ,4.3 out of 5(72)
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Rust","KSh 1,400","KSh 2,000",30%,4.5 out of 5(57)
Nunix 3In1 Multi-Function Breakfast Maker +Grill Tea-Coffee,"KSh 4,620", , ,5 out of 5(3)
Ramtons RM/382- Hand Mixer- Black.,"KSh 3,700", , ,4.7 out of 5(173)
Rashnik 6pcs KNIFE SET WITH STORAGE BLOCK,KSh 779,KSh 780,1%,4 out of 5(4)
Adidas Grand Court Base 2.0 Women Shoes,"KSh 5,128","KSh 10,255",50%,5 out of 5(3)
Maybelline Superstay Vinyl Ink 50 Wicked,"KSh 1,804","KSh 2,795",35%,4.2 out of 5(39)
Adidas Grand Court Base 2.0 Women Shoes,"KSh 5,128","KSh 10,255",50%,5 out of 5(8)
Ramtons RG/518- 2 Burner Gas Cooker- Stainless Steel- Silver.,"KSh 5,998","KSh 6,100",2%,4.3 out of 5(82)
Miniso Ceramide Nourishing Facial Sheet Mask,KSh 159, , ,5 out of 5(4)
Eurochef New S31 3GAS AND 1ELECTRIC PLATE TABLE TOP GAS COOKER,"KSh 5,208","KSh 6,500",20%,3.3 out of 5(3)
"C Idea 9 Inches Android 12 Tablets WiFi 256GB SIM ,1280 * 800,8000mAh Battery Tablet Green","KSh 10,000","KSh 18,625",46%,4.3 out of 5(4)
Bonnie ADULT CAT FOOD CHICKEN 1.5KG,"KSh 2,127", , ,5 out of 5(6)
NIVEA MEN Cool Kick Shower Gel For Men - 500ml,KSh 728,"KSh 1,040",30%,4.6 out of 5(31)
Vision Plus Quick Charger With Micro USB Included - Black,KSh 445,KSh 748,41%,4.4 out of 5(5)
L'Oréal professionnel 10 In 1 Multipurpose  Absolut Repair Oil 90ml,"KSh 3,981", , ,4.9 out of 5(39)
Gld G2301 3.1CH Subwoofer Speaker System 135W - Black,"KSh 14,444","KSh 15,999",10%,4 out of 5(2)
Mara Henna Powder-120 G,KSh 650, , ,4.7 out of 5(56)
LASA Computer Monitor Laptop Notebook Riser Desk Stand,"KSh 1,950","KSh 3,400",43%,5 out of 5(3)
Amaya BD25 Wireless Bluetooth Speaker Colorful Lights Multiple Functions FM Radio,"KSh 2,255", , ,3.5 out of 5(2)
"Amtec AM-735 3.1CH Sub Woofer Bluetooth System, FM/USB/SD - Black","KSh 6,670","KSh 7,500",11%,4 out of 5(2)
"Midea MMO-MM7P012MZE(BK) , 20L Manual Microwave Oven , 700W - Black","KSh 7,695","KSh 11,000",30%,4.8 out of 5(6)
"EDENBERG EB-3391 20cm Die-casting Crepe Pan Granite, Grey","KSh 1,197","KSh 1,260",5%,4 out of 5(9)
Sunlight 2 In 1 Hand Washing Powder Spring 500g,KSh 199, , ,4 out of 5(6)
Oraimo Shark 4 Dual EQ 20-hr Playtime IPX5 Waterproof Neckband Wireless Earphone,"KSh 2,200","KSh 3,361",35%,4.6 out of 5(27)
Oraimo Earphone OTW-340 PhantomBlack Online,"KSh 2,100","KSh 2,900",28%,4.4 out of 5(5)
Red Berry RSF810 Insulated Double Wall Vacuum Bottle – 700ml - Gold,KSh 792, , ,4 out of 5(4)
NIVEA Active Lip Balm For Men - 4.8g (Pack Of 2),KSh 553,KSh 729,24%,4.7 out of 5(79)
NIVEA Perfect & Radiant Detox Skin Care Pack,"KSh 2,100","KSh 3,000",30%,4.6 out of 5(173)
Inverroche Inverroche Classic Gin - 750ml,"KSh 4,599","KSh 5,484",16%,4.9 out of 5(13)
Red Berry RSF1001 - Insulated Double Wall Vacuum Flask - 1L - Grey.,"KSh 1,020", , ,5 out of 5(1)
Catpapa Baby Girls Outfit Set Letter Short Sleeves Bodysuit Polka Dot Shorts Headband,"KSh 960 - KSh 1,080","KSh 1,482 - KSh 1,542",35%,3.6 out of 5(5)
Miniso City Series-Reed Diffuser - Lily Of The Valley,KSh 399, , ,4.8 out of 5(11)
Tanqueray Rangpur Distilled Gin - 700ml,"KSh 2,599","KSh 3,000",13%,5 out of 5(8)
L'Oréal Paris Revitalift Laser Day Moisturiser - 50ml,"KSh 2,138","KSh 2,850",25%,4.4 out of 5(26)
Nice & Lovely Nourishing Baby Lotion - 300ml,KSh 750, , ,4.5 out of 5(11)
Mara Bhringraj Powder 100g,KSh 610, , ,4.6 out of 5(62)
Pepsodent Triple Protection Toothpaste Original 2x140g (Value Pack),KSh 350, , ,4.1 out of 5(7)
Dettol Dettol Liquid 125ml,KSh 348,KSh 400,13%, 
Ballantine Ballantine Blended Scotch Whiskey - 1L,"KSh 2,899","KSh 3,309",12%,4.5 out of 5(125)
Ramtons RM/597- Blender With Chopper And Mill (1YR WRTY),"KSh 7,400", , ,4.5 out of 5(25)
Ramtons RM/673 - BLENDER+MILL 1.5 LITERS 5 SPEED (1YR WRTY),"KSh 5,400","KSh 5,850",8%,4.8 out of 5(4)
"BOMGE Wireless Handheld Microphone,Metal Dual UHF Cordless Dynamic","KSh 2,900","KSh 4,308",33%,3.3 out of 5(3)
Adidas Duramo SL Men Running Shoes,"KSh 5,130","KSh 10,260",50%,4.9 out of 5(11)
Mortein MORTEIN DOOM AEROSOL AIKO - ODOURLESS 400ml,KSh 999,"KSh 1,300",23%,5 out of 5(1)
Nice & Lovely Avocado Lotion 400ml,KSh 295,KSh 365,19%,3.7 out of 5(7)
LASA Latest Kitchen Timer Magnetic With Retractable Stand,KSh 276,KSh 550,50%,4.5 out of 5(2)
Mara Grapeseed Oil- 125 Ml,KSh 600,KSh 850,29%,4.5 out of 5(116)
Bisutang Fresh Aloe Hyaluronic Acid Essence Moisturizing Facial Mask,KSh 150 - KSh 749,"KSh 250 - KSh 1,000",50%,4.4 out of 5(154)
NIVEA MEN Black & White Original Anti-Perspirant Spray 48h - 150ml (Pack Of 2).,"KSh 1,440", , ,4.6 out of 5(129)
