Name,Price,Old,Discount,Stars_and_reviews
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow,"KSh 1,820","KSh 2,999",39%,4.1 out of 5(266)
"Rashnik RN-999 Blender & Grinder 1.5 Litres, 400W – Brown","KSh 1,680", , ,4.2 out of 5(47)
"Power King Extension Cable With 6 AC Power Outlets, 13A, And 2 M Long Cable",KSh 480,KSh 550,13%,4 out of 5(728)
Rashnik TV Wall Mount TV Stand For 14” -  42”,KSh 247, , ,4.3 out of 5(109)
RichRipple Desktop Mobile Phone Holder Portable Foldable Phone Stands,KSh 249,KSh 399,38%,4.3 out of 5(102)
"Amtec 43L12, 43"" FHD Smart Android TV, Netfix, Youtube, Bluetooth - Black","KSh 19,899","KSh 28,000",29%,4.3 out of 5(153)
Garnier Brightening Night Serum With 10% Pure Vitamin C,"KSh 1,692","KSh 2,495",32%,4.4 out of 5(97)
Sonar C7 Hot And Normal Water Dispenser -blue And White (1YR WRTY),"KSh 3,910","KSh 5,000",22%,4 out of 5(388)
Qwen Aluminum Alloy Laptop Stand Computer Stand,KSh 560,"KSh 1,000",44%,4.5 out of 5(976)
Qwen Memory Card 64GB High Speed C10,KSh 599,KSh 800,25%,4 out of 5(162)
"Skyworth 43E3A, 43-inches Full HD Frameless Smart Android TV, Black (1YR WRTY)","KSh 27,999","KSh 44,999",38%,4.5 out of 5(784)
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,"KSh 19,799","KSh 26,322",25%,4.1 out of 5(278)
Rashnik 2 Burner Gas Table Top Cooker (Rn-1529B) - Black,"KSh 1,650", , ,3.8 out of 5(57)
RichRipple USB Rechargeable Beard Hair Trimmer Electric Hair Clippers Salon Hair Cutting Kit With Limit Comb,KSh 449,KSh 699,36%,4.2 out of 5(69)
AILYONS FK-0316 Stainless Steel 1.8L Electric Kettle - 1500W - Yellow (1YR WRTY),KSh 719,"KSh 1,499",52%,4.1 out of 5(33)
"AILYONS GS014-5, 2 Burner Glass Top Gas Cooker & Infrared Double Burner, 1YR WRTY","KSh 2,369","KSh 3,299",28%,4.1 out of 5(98)
